Timestamp,Name:,Roll Number:,Department,What is your sleeping pattern?,What is your study habit preference?,What kind of sleeping environment do you prefer?,What is your food preference?,Are you comfortable sharing a room with someone with a different food habit?,Do you consider yourself more of an:,Do you have any health conditions or allergies your roommate should know? (If no enter 'Nil'),How open are you to adjusting if you don’t get roomate of similar choice?
10/14/2025 18:03:00,Selvakumar R,24MEC341,Mechanical,10 PM – 12 AM,I prefer studying in silence,Complete silence,Non-Vegetarian,Yes,Ambivert,Asthma,Very flexible
10/10/2025 06:28:00,Karthikeyan A,24MEC502,Mechatronics,10 PM – 12 AM,I prefer group study,Complete silence,Non-Vegetarian,Yes,Ambivert,NIL,Very flexible
10/02/2025 07:43:00,Ramesh V,24CHE377,Chemistry,Before 10 PM,I prefer group study,"Complete silence, Okay with some light, Complete darkness",Vegetarian,Yes,Extrovert,Dust allergy,Very flexible
10/12/2025 01:11:00,Yogesh Kumar,24EEE129,EEE,Before 10 PM,I prefer studying in silence,Complete silence,Non-Vegetarian,Yes,Introvert,Nil,Somewhat flexible
10/15/2025 12:42:00,Ravi M,24CHE402,Chemistry,10 PM – 12 AM,I prefer studying in silence,Complete silence,Vegetarian,Yes,Introvert,No,Somewhat flexible
10/11/2025 02:04:00,Yuvaraj,24IT960,IT,After 12 AM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",No preference,Yes,Introvert,Asthma,Somewhat flexible
10/02/2025 00:53:00,Arun Kumar,24EIE321,EIE,10 PM – 12 AM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,No,Ambivert,No,Somewhat flexible
10/12/2025 03:32:00,Ragul S,24ECE129,ECE,Before 10 PM,I prefer group study,"Complete silence, Complete darkness",Vegetarian,Yes,Ambivert,Asthma,Very flexible
10/03/2025 10:12:00,Pandi Kumar,24IT134,IT,Before 10 PM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Ambivert,No,Very flexible
10/06/2025 15:39:00,Surya Narayanan,24ECE486,ECE,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Introvert,None,Very flexible
10/03/2025 03:16:00,Gopi Nath,24CSE814,CSE,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Ambivert,Nil,Very flexible
10/17/2025 16:46:00,Kavin Kumar,24MEC102,Mechatronics,After 12 AM,I’m okay with mild background noise/music,Complete darkness,Non-Vegetarian,Yes,Ambivert,Dust allergy,Very flexible
10/07/2025 13:11:00,Sanjay Kumar,24MEC217,Mechatronics,10 PM – 12 AM,I prefer group study,"Flexible, can adjust, Okay with some noise",Vegetarian,Yes,Ambivert,Dust allergy,Very flexible
10/21/2025 13:56:00,Prasanna Kumar,24EIE696,EIE,After 12 AM,I prefer studying in silence,"Complete silence, Okay with some light, Complete darkness",Vegetarian,Yes,Introvert,Diabetes,Very flexible
10/01/2025 16:41:00,Karthikeyan A,24CHE626,Chemistry,Before 10 PM,I prefer studying in silence,Complete silence,Non-Vegetarian,Yes,Ambivert,Dust allergy,Not flexible
10/09/2025 10:53:00,Lokesh P,24AIM607,AIML,Before 10 PM,I prefer group study,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Introvert,Nil,Very flexible
10/20/2025 01:08:00,Ashok Kumar,24CHE204,Chemistry,10 PM – 12 AM,I prefer studying in silence,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Ambivert,No,Very flexible
10/17/2025 19:09:00,Rajeshwaran,24BIO707,Biotechnology,10 PM – 12 AM,I prefer group study,"Flexible, can adjust",Non-Vegetarian,Yes,Introvert,Diabetes,Very flexible
10/15/2025 13:04:00,Dinesh S,24EEE552,EEE,10 PM – 12 AM,I prefer studying in silence,"Complete silence, Complete darkness",No preference,Yes,Extrovert,Diabetes,Very flexible
10/07/2025 03:21:00,Elango,24AIM689,AIML,After 12 AM,I prefer studying in silence,"Complete silence, Okay with some light, Complete darkness",No preference,Yes,Ambivert,NIL,Very flexible
10/12/2025 10:29:00,Ganesh Kumar,24ECE536,ECE,10 PM – 12 AM,I’m okay with mild background noise/music,Complete darkness,Vegetarian,Yes,Introvert,Nil,Somewhat flexible
10/03/2025 05:00:00,Santhosh K,24BIO457,Biotechnology,After 12 AM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Ambivert,Asthma,Somewhat flexible
10/09/2025 21:11:00,Elango,24BIO158,Biotechnology,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,No,Introvert,Asthma,Somewhat flexible
10/16/2025 11:50:00,Suresh Babu,24MEC363,Mechatronics,Before 10 PM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,No,Somewhat flexible
10/16/2025 11:20:00,Nithesh,24IT323,IT,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,Dust allergy,Very flexible
10/12/2025 16:05:00,Kishore R,24CHE706,Chemistry,10 PM – 12 AM,I prefer group study,"Flexible, can adjust",Non-Vegetarian,Yes,Introvert,Dust allergy,Somewhat flexible
10/15/2025 06:22:00,Prem Kumar,24ECE436,ECE,After 12 AM,I prefer group study,Okay with some noise,Non-Vegetarian,No,Extrovert,Nil,Somewhat flexible
10/19/2025 01:46:00,Kishore R,24BIO823,Biotechnology,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Ambivert,NIL,Somewhat flexible
10/15/2025 20:18:00,Prem Kumar,24EEE370,EEE,10 PM – 12 AM,I’m okay with mild background noise/music,Complete silence,Vegetarian,Yes,Introvert,Asthma,Very flexible
10/09/2025 00:02:00,Vijay Anand,24CHE244,Chemistry,After 12 AM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,No,Introvert,Asthma,Somewhat flexible
10/21/2025 05:53:00,Mohanraj K,24EEE571,EEE,Before 10 PM,I prefer studying in silence,Complete darkness,Non-Vegetarian,Yes,Introvert,Diabetes,Somewhat flexible
10/18/2025 17:12:00,Madhan Kumar,24CHE191,Chemistry,Before 10 PM,I prefer group study,Complete silence,Non-Vegetarian,Yes,Extrovert,Nil,Somewhat flexible
10/04/2025 13:40:00,Selvakumar R,24PHY281,Physics,Before 10 PM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Introvert,Diabetes,Somewhat flexible
10/01/2025 23:10:00,Nithesh,24AIM105,AIML,After 12 AM,I’m okay with mild background noise/music,Complete darkness,Non-Vegetarian,No,Ambivert,NIL,Very flexible
10/03/2025 18:36:00,Prasanna Kumar,24EEE776,EEE,10 PM – 12 AM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,No,Ambivert,Asthma,Somewhat flexible
10/18/2025 20:11:00,Sundar P,24BIO869,Biotechnology,Before 10 PM,I prefer studying in silence,Okay with some noise,Non-Vegetarian,Yes,Introvert,Asthma,Not flexible
10/11/2025 23:51:00,Arun Kumar,24EEE686,EEE,10 PM – 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,Yes,Ambivert,None,Very flexible
10/21/2025 00:28:00,Balaji D,24PHY841,Physics,After 12 AM,I prefer studying in silence,Complete darkness,Non-Vegetarian,Yes,Ambivert,No,Somewhat flexible
10/01/2025 13:24:00,Santhosh K,24MEC589,Mechatronics,10 PM – 12 AM,I prefer group study,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Introvert,Diabetes,Very flexible
10/15/2025 03:45:00,Kavin Kumar,24BIO637,Biotechnology,10 PM – 12 AM,I prefer studying in silence,Complete silence,Non-Vegetarian,Yes,Introvert,NIL,Very flexible
10/07/2025 17:33:00,Hariharan,24CSE294,CSE,10 PM – 12 AM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,NIL,Somewhat flexible
10/04/2025 07:32:00,Ramesh V,24EIE457,EIE,Before 10 PM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,No,Ambivert,Nil,Somewhat flexible
10/04/2025 04:35:00,Ganesh Kumar,24ECE161,ECE,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,No,Introvert,Diabetes,Very flexible
10/12/2025 01:48:00,Krishna Raj,24AIM840,AIML,After 12 AM,I prefer group study,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,No,Introvert,NIL,Very flexible
10/04/2025 22:42:00,Vinoth Kumar,24BIO709,Biotechnology,After 12 AM,I prefer studying in silence,"Flexible, can adjust",Non-Vegetarian,Yes,Ambivert,Nil,Very flexible
10/15/2025 22:45:00,Arunkumar L,24CHE746,Chemistry,Before 10 PM,I prefer group study,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,No,Somewhat flexible
10/01/2025 09:25:00,Nandhakumar,24EEE580,EEE,After 12 AM,I’m okay with mild background noise/music,Complete silence,Non-Vegetarian,Yes,Ambivert,None,Somewhat flexible
10/15/2025 08:52:00,Santhosh K,24EIE515,EIE,Before 10 PM,I prefer studying in silence,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Introvert,Asthma,Very flexible
10/08/2025 10:01:00,Ragul S,24BIO740,Biotechnology,10 PM – 12 AM,I prefer studying in silence,Okay with some noise,Non-Vegetarian,Yes,Extrovert,Nil,Somewhat flexible
10/12/2025 05:50:00,Manikandan S,24AIM884,AIML,10 PM – 12 AM,I prefer studying in silence,Complete darkness,Non-Vegetarian,Yes,Introvert,Nil,Very flexible
10/15/2025 08:03:00,Selvakumar R,24EEE577,EEE,Before 10 PM,I prefer studying in silence,Complete darkness,Non-Vegetarian,Yes,Introvert,Diabetes,Somewhat flexible
10/01/2025 18:28:00,Ravi M,24EIE702,EIE,10 PM – 12 AM,I prefer studying in silence,Complete silence,Non-Vegetarian,Yes,Ambivert,Asthma,Somewhat flexible
10/19/2025 15:57:00,Muthukumar S,24CSE986,CSE,Before 10 PM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,NIL,Somewhat flexible
10/04/2025 03:39:00,Ajith Kumar,24AIM991,AIML,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Vegetarian,Yes,Ambivert,Diabetes,Somewhat flexible
10/18/2025 14:20:00,Karthick Raj,24MEC586,Mechanical,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,No,Ambivert,Dust allergy,Somewhat flexible
10/05/2025 15:50:00,Lokesh P,24EEE373,EEE,10 PM – 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,No,Ambivert,None,Somewhat flexible
10/17/2025 05:26:00,Kavin Raj,24IT193,IT,After 12 AM,I prefer studying in silence,Complete darkness,Vegetarian,No,Ambivert,No,Very flexible
10/07/2025 06:18:00,Murugan A,24CSE184,CSE,10 PM – 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust",No preference,Yes,Extrovert,Asthma,Very flexible
10/22/2025 02:39:00,Logesh Kumar,24MEC483,Mechanical,Before 10 PM,I prefer group study,"Flexible, can adjust",Non-Vegetarian,No,Ambivert,Diabetes,Somewhat flexible
10/21/2025 08:30:00,Ragul Deep,24PHY417,Physics,10 PM – 12 AM,I’m okay with mild background noise/music,Complete darkness,Vegetarian,Yes,Introvert,None,Very flexible
10/20/2025 02:17:00,Lokesh P,24EIE343,EIE,After 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,Dust allergy,Very flexible
10/17/2025 14:39:00,Sanjay Kumar,24ECE159,ECE,10 PM – 12 AM,I prefer studying in silence,Complete darkness,Non-Vegetarian,Yes,Introvert,Asthma,Somewhat flexible
10/21/2025 09:32:00,Prasanna Kumar,24CHE447,Chemistry,10 PM – 12 AM,I’m okay with mild background noise/music,Complete darkness,Non-Vegetarian,Yes,Extrovert,None,Very flexible
10/17/2025 10:56:00,Saran Raj,24MEC252,Mechanical,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust",Vegan,Yes,Extrovert,None,Very flexible
10/18/2025 05:53:00,Kishore R,24AIM988,AIML,Before 10 PM,I prefer group study,"Flexible, can adjust, Okay with some noise",Vegetarian,Yes,Ambivert,No,Somewhat flexible
10/07/2025 18:17:00,Ragul Deep,24AIM974,AIML,Before 10 PM,I prefer studying in silence,Complete silence,Non-Vegetarian,No,Extrovert,Asthma,Very flexible
10/20/2025 12:39:00,Yogesh Kumar,24IT722,IT,After 12 AM,I prefer studying in silence,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,No,Introvert,Dust allergy,Somewhat flexible
10/15/2025 21:23:00,Gokul Raj,24AIM836,AIML,After 12 AM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Extrovert,No,Somewhat flexible
10/19/2025 19:05:00,Vijay Anand,24ECE656,ECE,Before 10 PM,I prefer studying in silence,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Ambivert,NIL,Somewhat flexible
10/15/2025 23:12:00,Vinoth Kumar,24EIE509,EIE,Before 10 PM,I prefer studying in silence,Complete silence,No preference,Yes,Extrovert,Dust allergy,Very flexible
10/06/2025 22:52:00,Kavin Raj,24BIO913,Biotechnology,Before 10 PM,I prefer group study,Okay with some noise,Non-Vegetarian,Yes,Ambivert,None,Somewhat flexible
10/04/2025 07:51:00,Ranjith Kumar,24ECE892,ECE,After 12 AM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,Nil,Very flexible
10/08/2025 20:12:00,Nandhakumar,24CSE213,CSE,After 12 AM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,No,Ambivert,Asthma,Somewhat flexible
10/16/2025 08:49:00,Ragul Deep,24ECE643,ECE,10 PM – 12 AM,I’m okay with mild background noise/music,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,Asthma,Not flexible
10/09/2025 22:33:00,Saravanan M,24AIM609,AIML,10 PM – 12 AM,I prefer group study,Complete darkness,No preference,Yes,Introvert,Dust allergy,Very flexible
10/18/2025 02:00:00,Ragul Deep,24AIM659,AIML,Before 10 PM,I prefer group study,Complete darkness,Non-Vegetarian,Yes,Ambivert,Diabetes,Somewhat flexible
10/07/2025 12:56:00,Murugan A,24CHE920,Chemistry,Before 10 PM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,No,Ambivert,None,Very flexible
10/02/2025 16:57:00,Manikandan S,24EEE886,EEE,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Vegetarian,Yes,Introvert,None,Somewhat flexible
10/21/2025 06:31:00,Sivaranjan,24EEE986,EEE,Before 10 PM,I prefer group study,"Complete silence, Complete darkness",Vegan,No,Ambivert,Asthma,Very flexible
10/20/2025 16:30:00,Gopi Nath,24EEE162,EEE,Before 10 PM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,No,Somewhat flexible
10/02/2025 19:17:00,Vinoth Kumar,24EEE960,EEE,Before 10 PM,I’m okay with mild background noise/music,"Flexible, can adjust",Non-Vegetarian,Yes,Introvert,No,Somewhat flexible
10/17/2025 20:09:00,Vasanth Kumar,24AIM171,AIML,Before 10 PM,I prefer studying in silence,Complete darkness,Non-Vegetarian,No,Ambivert,Dust allergy,Very flexible
10/02/2025 14:45:00,Naveen Raj,24EIE266,EIE,Before 10 PM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",No preference,Yes,Extrovert,Nil,Not flexible
10/07/2025 06:36:00,Kavin Kumar,24MEC864,Mechatronics,After 12 AM,I’m okay with mild background noise/music,Complete silence,Non-Vegetarian,Yes,Ambivert,None,Somewhat flexible
10/06/2025 23:27:00,Karthikeyan A,24BIO250,Biotechnology,10 PM – 12 AM,I prefer studying in silence,Okay with some noise,Non-Vegetarian,Yes,Introvert,Nil,Very flexible
10/10/2025 10:16:00,Ashok Kumar,24EEE650,EEE,Before 10 PM,I prefer studying in silence,Complete darkness,Non-Vegetarian,No,Introvert,Nil,Somewhat flexible
10/03/2025 22:44:00,Vinoth Kumar,24MEC369,Mechatronics,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Introvert,Nil,Very flexible
10/02/2025 04:45:00,Suresh Babu,24ECE515,ECE,10 PM – 12 AM,I prefer studying in silence,"Complete silence, Okay with some light, Complete darkness",Vegetarian,Yes,Ambivert,Nil,Somewhat flexible
10/16/2025 15:14:00,Hariharan,24MEC463,Mechatronics,After 12 AM,I’m okay with mild background noise/music,Okay with some noise,Vegetarian,No,Introvert,Dust allergy,Very flexible
10/11/2025 20:43:00,Prem Kumar,24CHE716,Chemistry,After 12 AM,I’m okay with mild background noise/music,Complete darkness,Non-Vegetarian,Yes,Ambivert,Nil,Not flexible
10/17/2025 08:26:00,Madhan Kumar,24MEC366,Mechanical,Before 10 PM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",Vegetarian,Yes,Ambivert,None,Somewhat flexible
10/17/2025 18:40:00,Saran Raj,24EEE199,EEE,10 PM – 12 AM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,Diabetes,Very flexible
10/13/2025 23:20:00,Ragul S,24ECE960,ECE,Before 10 PM,I prefer group study,"Flexible, can adjust, Okay with some noise",Non-Vegetarian,Yes,Introvert,Dust allergy,Very flexible
10/05/2025 11:53:00,Muthukumar S,24BIO498,Biotechnology,Before 10 PM,I prefer group study,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Introvert,Diabetes,Very flexible
10/16/2025 07:08:00,Kamalakannan,24BIO369,Biotechnology,10 PM – 12 AM,I prefer group study,"Flexible, can adjust",Vegetarian,Yes,Ambivert,Asthma,Somewhat flexible
10/22/2025 02:38:00,Bharath Raj,24EEE627,EEE,After 12 AM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,No,Very flexible
10/07/2025 23:20:00,Krishna Raj,24EIE683,EIE,10 PM – 12 AM,I prefer studying in silence,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Extrovert,Nil,Somewhat flexible
10/19/2025 06:59:00,Murugan A,24EEE960,EEE,10 PM – 12 AM,I prefer studying in silence,"Flexible, can adjust",Vegetarian,Yes,Ambivert,None,Very flexible
10/10/2025 08:50:00,Pandi Kumar,24AIM112,AIML,10 PM – 12 AM,I prefer group study,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Ambivert,Diabetes,Somewhat flexible
10/06/2025 22:41:00,Harish G,24CHE698,Chemistry,Before 10 PM,I prefer group study,"Flexible, can adjust",Non-Vegetarian,Yes,Ambivert,No,Very flexible
10/10/2025 07:12:00,Tharun Raj,24EEE339,EEE,10 PM – 12 AM,I’m okay with mild background noise/music,"Complete silence, Complete darkness",Non-Vegetarian,Yes,Introvert,Asthma,Somewhat flexible
10/18/2025 12:16:00,Sathish Kumar,24ECE345,ECE,Before 10 PM,I prefer group study,Complete silence,Non-Vegetarian,Yes,Ambivert,No,Very flexible
10/02/2025 19:37:00,Deepak S,24MEC921,Mechatronics,After 12 AM,I prefer group study,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Ambivert,Dust allergy,Somewhat flexible
10/22/2025 00:17:00,Ragul Raj,24CSE174,CSE,Before 10 PM,I prefer group study,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Extrovert,No,Somewhat flexible
10/05/2025 02:18:00,Kumaravel S,24EIE480,EIE,After 12 AM,I prefer group study,"Flexible, can adjust",Non-Vegetarian,No,Introvert,Diabetes,Somewhat flexible
10/11/2025 09:41:00,Ragul S,24EEE783,EEE,10 PM – 12 AM,I prefer studying in silence,"Flexible, can adjust, Okay with some noise",Vegetarian,Yes,Ambivert,Asthma,Very flexible
10/11/2025 05:49:00,Gopi Nath,24EEE645,EEE,After 12 AM,I prefer group study,Complete darkness,Non-Vegetarian,Yes,Ambivert,No,Somewhat flexible
10/12/2025 13:14:00,Selvakumar R,24PHY651,Physics,After 12 AM,I’m okay with mild background noise/music,"Complete silence, Okay with some light, Complete darkness",Non-Vegetarian,Yes,Introvert,No,Somewhat flexible
